dimension,funcion,algoritmo,variante,repeticion,mejor_final,tiempo_total,iter_mejor
10,Griewank,PSO,PSO_explotacion,23,6.333828776263893,0.058285800005251076,99
10,Griewank,PSO,PSO_explotacion,24,3.7657072636595883,0.058182699998724274,99
10,Griewank,PSO,PSO_explotacion,25,3.657403756346808,0.058506300003500655,99
10,Griewank,PSO,PSO_explotacion,26,7.121909566754603,0.058417300002474803,99
10,Griewank,PSO,PSO_explotacion,27,11.383661594509817,0.05829310000262922,99
10,Griewank,PSO,PSO_explotacion,28,2.642303673987767,0.05826800000068033,99
10,Griewank,PSO,PSO_explotacion,29,0.9241146231229106,0.05829229999653762,99
10,Griewank,AG,AG_base,0,0.5339696797782068,0.6578838000059477,85
10,Griewank,AG,AG_base,1,0.7865080309471664,0.6605819999967935,52
10,Griewank,AG,AG_base,2,0.8542938504073183,0.6571900999988429,80
10,Griewank,AG,AG_base,3,0.8390244859841567,0.6548462999999174,97
10,Griewank,AG,AG_base,4,0.7420307182810827,0.6550998000020627,81
10,Griewank,AG,AG_base,5,0.8460148097412932,0.6580250999977579,95
10,Griewank,AG,AG_base,6,0.3384884705874148,0.6565832999986014,83
10,Griewank,AG,AG_base,7,0.9919014487177101,0.6571785999985877,87
10,Griewank,AG,AG_base,8,0.6203194028313374,0.6583159000001615,91
10,Griewank,AG,AG_base,9,0.8221428081230489,0.6600533000018913,68
10,Griewank,AG,AG_base,10,0.9240051531487802,0.658139500003017,69
10,Griewank,AG,AG_base,11,0.8417769861950786,0.6573172999997041,85
10,Griewank,AG,AG_base,12,0.6061717379765535,0.6635496000017156,95
